tag,game_count,median_owner_mid,median_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,free_operation_score
Cartoony,308,10000.0,31.5,83.33333333333334,0.0,0.0,-0.20523500029453726
FPS,526,75000.0,192.0,71.89119170984456,0.0,0.0,-0.2055143963178522
3D Platformer,214,10000.0,37.0,82.26691042047533,0.0,0.0,-0.209029996227188
PvP,726,75000.0,168.5,72.64688620194582,0.0,0.0,-0.21023528039773
Political,50,35000.0,65.5,78.53078709002321,0.0,0.0,-0.21770719691438387
Casual,2741,10000.0,53.0,79.82203123773644,0.0,0.0,-0.2204696640665784
Nonlinear,76,10000.0,33.0,82.71874684863357,0.0,0.0,-0.22492287391319957
Automobile Sim,45,35000.0,121.0,74.4336569579288,0.0,0.0,-0.22989570660133
2.5D,112,35000.0,45.5,80.5324459234609,0.0,0.0,-0.23559660900081547
Old School,171,35000.0,32.0,82.7338998708397,0.0,0.0,-0.23561908785603655
Tabletop,91,35000.0,95.0,75.86595655203342,0.0,0.0,-0.23634831842364415
Vehicular Combat,50,75000.0,204.5,70.94713342516505,0.0,0.0,-0.23830618574114104
Board Game,136,35000.0,109.5,74.92537313432835,0.0,0.0,-0.23861768896089153
Gun Customization,41,75000.0,146.0,73.08207431816021,0.0,0.0,-0.23927345433731473
Card Battler,68,35000.0,131.0,73.76030115071075,0.0,0.0,-0.24004907194533823
Indie,4217,10000.0,55.0,79.25729679280502,0.0,0.0,-0.24054196201510677
Design & Illustration,125,10000.0,31.0,82.80701754385966,0.0,0.0,-0.24316023084793245
Beat 'em up,91,35000.0,81.0,76.63551401869158,0.0,0.0,-0.25104163801844187
Military,133,150000.0,142.0,72.96918767507002,0.0,0.0,-0.25684729801382816
4 Player Local,100,10000.0,28.0,83.20806612340678,0.0,0.0,-0.2571564218233175
Violent,438,35000.0,102.5,75.0,0.0,0.0,-0.25955679084157945
Survival,494,75000.0,210.5,70.37977063357775,0.0,0.0,-0.2614901677392336
Life Sim,84,10000.0,66.5,77.64365692849836,0.0,0.0,-0.2656578789000714
Modern,65,35000.0,52.0,79.0449037776194,0.0,0.0,-0.27483365952606964
Tutorial,83,10000.0,21.0,84.5528455284553,0.0,0.0,-0.28314434489470236
Animation & Modeling,98,10000.0,36.5,81.03448275862068,0.0,0.0,-0.2888647511315843
RTS,141,35000.0,134.0,72.64331974094507,0.0,0.0,-0.2989918119836689
MOBA,104,150000.0,269.5,68.13346228239845,0.0,0.0,-0.3018842537106288
Mythology,57,75000.0,55.0,78.125,0.0,0.0,-0.3091559476803712
Class-Based,56,75000.0,156.0,71.32433581474491,0.0,0.0,-0.32018247904831676
Card Game,205,75000.0,148.0,71.55963302752293,0.0,0.0,-0.32627151411718613
Souls-like,57,10000.0,54.0,77.88904586350564,0.0,0.0,-0.3304642909921271
Fighting,147,35000.0,99.0,74.0309197664924,0.0,0.0,-0.3316643609891629
Lore-Rich,88,35000.0,58.5,77.27598566308244,0.0,0.0,-0.3370175054980611
Sci-fi,534,35000.0,60.5,77.06018518518519,0.0,0.0,-0.33723191116624385
Collectathon,62,10000.0,39.0,79.78835978835978,0.0,0.0,-0.3392672478037359
Mechs,41,75000.0,215.0,68.83720930232559,0.0,0.0,-0.34677409109335233
Simulation,1273,35000.0,76.0,75.43859649122807,0.0,0.0,-0.3480483952639544
RPG,1281,35000.0,109.0,73.10893955845096,0.0,0.0,-0.3504528549897861
Dragons,56,75000.0,134.0,71.78788235987506,0.0,0.0,-0.35082889972889286
