appid,name,genres_items,categories_items,tags_items,genres_item_count,categories_item_count,tags_item_count,review_count_calc,positive_rate_calc,recommendations,peak_ccu,attention_score_descriptive,is_indie_positioned
381640,Allods Online RU,"['Action', 'Massively Multiplayer', 'RPG', 'Free To Play']","['Multi-player', 'MMO', 'Steam Trading Cards', 'In-App Purchases']","['Massively Multiplayer', 'MMORPG', 'Free to Play', 'Open World', 'RPG', 'Atmospheric', 'Multiplayer', 'Character Customization', 'CRPG', 'Singleplayer', '3D', 'Third Person', 'Story Rich', 'Magic', 'Lore-Rich', 'PvP', 'PvE', 'Team-Based', 'Crafting', 'Online Co-Op']",4,4,20,1667,64.78704259148171,0,1,0.5292444074264215,False
233840,Worms Clan Wars,['Strategy'],"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Strategy', 'Multiplayer', 'Turn-Based', 'Funny', 'Local Co-Op', 'Comedy', '2D', 'Action', 'Singleplayer', '2.5D', 'Turn-Based Tactics', 'Cartoony', 'Local Multiplayer', 'Colorful', 'Turn-Based Combat', 'Turn-Based Strategy']",1,12,16,3131,78.56914723730438,1663,13,2.104480892777473,False
2614070,NUKITASHI 2,"['Adventure', 'Casual']","['Single-player', 'Steam Cloud', 'Family Sharing']","['Dark Humor', 'Visual Novel', 'Multiple Endings', 'Choose Your Own Adventure', 'Cute', 'Anime', 'Romance', 'Colorful', 'Comedy', 'Story Rich', 'Survival', 'Mystery', 'Emotional', 'Atmospheric', 'Choices Matter', 'Casual', 'Singleplayer', 'Adventure', '2D', 'Sexual Content']",2,3,20,1737,98.96373056994818,1657,20,2.134940954761707,False
370910,Kathy Rain,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Point & Click', 'Adventure', 'Pixel Graphics', 'Female Protagonist', 'Mystery', 'Detective', 'Indie', 'Singleplayer', 'Story Rich', 'Puzzle', 'Psychological Horror', 'Noir', 'Retro', 'Hand-drawn', 'Supernatural', 'Third Person', 'RPG', 'Atmospheric', 'Choices Matter', 'Exploration']",2,5,20,3728,92.03326180257511,1663,6,1.937029321740208,True
1536070,Sword and Fairy 3,['RPG'],"['Single-player', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['RPG', 'Story Rich', 'Multiple Endings', 'Singleplayer', '3D', 'Fantasy', 'Mythology', 'Magic', 'Martial Arts', 'Drama', 'Retro', 'Cartoon', 'Cute', 'Colorful', 'Romance', 'Party-Based RPG', 'Comic Book', '3D Platformer', 'Nostalgia', 'Turn-Based']",1,4,20,1767,84.09734012450481,1658,69,2.4699528848191505,False
249590,Teslagrad,['Indie'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Platformer', 'Puzzle', 'Indie', 'Metroidvania', '2D', 'Steampunk', 'Singleplayer', 'Puzzle-Platformer', 'Action', 'Adventure', 'Difficult', 'Physics', 'Exploration', 'Side Scroller', 'Atmospheric', 'Retro', 'Great Soundtrack', 'Cute', 'Nonlinear', 'Dark Fantasy']",1,7,20,2418,84.40860215053763,1662,2,1.643317046088477,True
2671970,‎My Suika – Kyo’s Fruit Merge,"['Casual', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Family Sharing']","['Casual', 'Simulation', 'Strategy', 'Puzzle', 'Physics', 'Family Friendly', '2D', 'Cute', 'Cartoon', 'Logic', 'Indie', 'Management', 'Relaxing', 'Score Attack', 'Singleplayer', 'Clicker', 'Psychological Horror']",4,9,17,690,86.95652173913044,1657,28,2.097120129693758,True
476460,Picross Touch,"['Casual', 'Free To Play', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","['Puzzle', 'Free to Play', 'Casual', 'Indie', 'Strategy', 'Singleplayer', 'Touch-Friendly', 'Level Editor']",4,6,8,1652,94.43099273607749,0,83,1.5604730709348453,True
2358260,Cricket 24,"['Simulation', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Sports', 'Controller', '3D', 'Arcade', 'Multiplayer', 'Singleplayer', 'PvP', 'Third Person', 'Simulation', 'Cricket', 'Local Co-Op', 'Local Multiplayer', 'Level Editor', '4 Player Local', 'Online Co-Op']",2,14,15,1672,78.11004784688996,1650,305,2.8691997344847344,False
1585570,Workplace Rhapsody,"['Casual', 'Indie', 'RPG', 'Simulation']","['Single-player', 'Steam Cloud', 'Family Sharing']","['Sexual Content', 'Mature', 'Nudity', 'Story Rich', 'JRPG', 'Emotional', 'Life Sim', 'Anime', 'RPG', 'Casual', 'Dating Sim', 'Simulation', 'Romance', 'Singleplayer', 'Comedy', 'Indie', 'Time Management', 'CRPG', 'Drama', 'Immersive Sim']",4,3,20,1245,86.98795180722891,1659,8,1.8552260514380585,True
1574360,Uncharted Waters Origin,"['Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases']",[],6,7,0,0,,0,0,-0.6836679568873337,False
204630,Retro City Rampage™ DX,"['Action', 'Adventure', 'Indie', 'Racing']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Open World', 'Retro', 'Pixel Graphics', 'Indie', 'Adventure', '1980s', 'Parody', 'Comedy', 'Funny', 'Satire', '2D', 'Top-Down', 'Singleplayer', 'Crime', 'Racing', 'Violent', 'Great Soundtrack', 'Shooter', 'Sandbox']",4,7,20,2388,88.107202680067,1658,4,1.782397747351535,True
518060,Chess Ultra,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Cloud', 'Steam Turn Notifications', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Strategy', 'Chess', 'Indie', 'Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'VR', 'Casual', 'Sports', 'Psychological Horror']",5,15,11,2091,74.74892395982783,1648,26,2.2291871330676187,True
932850,Simmiland,"['Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Simulation', 'Indie', 'God Game', 'Pixel Graphics', 'Card Game', 'Casual', 'Strategy', 'Puzzle', 'Singleplayer', '2D', 'Sandbox']",2,5,11,869,89.75834292289989,1657,6,1.7361979626082775,True
3101720,重生之我是小虾米,"['Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play']","['Single-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases']",[],7,6,0,0,,0,0,-0.6836679568873337,True
865570,Pact with a witch,"['Adventure', 'Casual', 'Free To Play', 'Indie', 'RPG', 'Early Access']",['Single-player'],[],6,1,0,0,,0,4,-0.23908610021407717,True
922320,Sniper 3D Assassin: Free to Play,"['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'In-App Purchases']","['Free to Play', 'Action', 'FPS', 'Sniper', 'Simulation', 'Strategy', 'Multiplayer', 'Singleplayer', 'Violent', 'Adventure', 'Casual', 'Indie', 'RPG', 'Shooter', 'Controller']",8,2,15,1654,64.14752116082225,0,17,1.1351158792732288,True
1991040,School Days,"['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Early Access', 'RPG', 'Story Rich', 'Casual', 'Simulation', 'Life Sim', 'Indie', 'Memes', 'Multiple Endings', 'Education', 'Anime', 'Dating Sim', 'Strategy', 'Choices Matter', 'Drama', 'Historical', 'Exploration', 'Immersive Sim', 'Visual Novel', 'Singleplayer']",5,4,20,2367,76.51035065483734,1633,343,2.9480387439079756,True
