tag,indie_count,non_indie_count,indie_share,non_indie_share,lift
Narration,1377.0,379.0,0.021074380165289255,0.015610841090699398,1.349983645522144
Word Game,566.0,157.0,0.008662381389654117,0.006466760029656479,1.3395241743823099
Wholesome,328.0,91.0,0.005019895928986838,0.0037482494439410167,1.3392641029004664
Controller,4845.0,1346.0,0.07415059687786961,0.055441140126863825,1.3374652236262397
Crafting,2151.0,599.0,0.032920110192837464,0.024672543043084274,1.3342811940930015
Deckbuilding,810.0,226.0,0.012396694214876033,0.009308839278359009,1.3317121334015942
Cyberpunk,1219.0,344.0,0.018656259565350473,0.014169206689183624,1.3166763654871476
Adventure,23996.0,6776.0,0.3672482399755127,0.27910042013345415,1.3158283308921928
Trivia,226.0,64.0,0.0034588307315580043,0.002636131477057418,1.3120858203244568
Building,2711.0,769.0,0.04149066421793694,0.031674767279018044,1.3098964185735669
Sandbox,3099.0,880.0,0.047428833792470156,0.036246807809539504,1.3084968486518072
Colony Sim,489.0,139.0,0.007483930211202939,0.0057253480517340805,1.3071572494070858
Family Friendly,5908.0,1681.0,0.09041934496479952,0.06923964082708625,1.3058898614249868
Space Sim,599.0,171.0,0.009167431894704621,0.007043413790262789,1.301560886196718
Dystopian,816.0,234.0,0.01248852157943067,0.009638355712991185,1.2957107987411018
Underwater,317.0,91.0,0.00485154576063667,0.0037482494439410167,1.2943497579861216
2.5D,1406.0,404.0,0.021518212427303337,0.01664057994892495,1.293116735916016
Zombies,1915.0,552.0,0.0293082338536884,0.022736633989620232,1.2890313432968243
Co-op Campaign,357.0,103.0,0.005463728191000918,0.004242524095889283,1.2878484759332067
Time Travel,308.0,89.0,0.0047138047138047135,0.0036658703352829723,1.2858623690084363
1980s,1484.0,430.0,0.02271196816651362,0.017711508361479528,1.2823282863874832
Cartoon,2384.0,692.0,0.036486072849709214,0.028503171595683333,1.2800706309902317
Aliens,1263.0,367.0,0.01932966023875115,0.015116566438751132,1.2787070606986388
Gun Customization,409.0,119.0,0.006259565350474441,0.004901556965153637,1.2770565342757856
Grid-Based Movement,812.0,238.0,0.012427303336394245,0.009803113930307274,1.267689371432687
God Game,394.0,116.0,0.006029996939087848,0.004777988302166571,1.2620367731652997
Fishing,282.0,84.0,0.004315886134067953,0.0034599225636378615,1.2473938519393066
Satire,355.0,106.0,0.005433119069482706,0.004366092758876349,1.2443892902726523
Comedy,3918.0,1175.0,0.05996326905417815,0.04839772633660104,1.23896872008284
Card Battler,643.0,193.0,0.009840832568105296,0.007949583985501277,1.2379053527899502
Life Sim,1321.0,397.0,0.020217324762779307,0.016352253068621796,1.2363632508583275
Old School,2856.0,860.0,0.04370982552800735,0.035423016722959055,1.2339385397313516
Stealth,1462.0,442.0,0.022375267829813285,0.018205783013427793,1.2290198017470746
Sci-fi,5534.0,1677.0,0.08469543924089379,0.06907488260977017,1.2261394596842095
Great Soundtrack,2989.0,908.0,0.04574533210896847,0.03740011533075212,1.2231334503761417
Lore-Rich,985.0,300.0,0.015074992347719621,0.012356866298706647,1.2199688807264566
Dog,354.0,108.0,0.0054178145087236,0.004448471867534393,1.2179046355814034
Post-apocalyptic,1665.0,508.0,0.025482093663911846,0.020924293599143256,1.2178233660875037
Choices Matter,3742.0,1144.0,0.05726966636057545,0.047120850152401354,1.2153784614528416
Archery,194.0,60.0,0.0029690847872666055,0.00247137325974133,1.2013906744209775
Experience,145.0,45.0,0.002219161310070401,0.0018535299448059971,1.197262184130871
Emotional,1849.0,574.0,0.028298132843587388,0.02364280418485872,1.1969025595411404
Dark Fantasy,1931.0,602.0,0.029553106825834098,0.02479611170607134,1.191844397869768
First-Person,7955.0,2489.0,0.12174778083868992,0.10252080072493616,1.1875422351151923
Quick-Time Events,369.0,116.0,0.005647382920110193,0.004777988302166571,1.1819582977106489
Choose Your Own Adventure,2119.0,669.0,0.03243036424854607,0.027555811846115826,1.1768974338209288
Beat 'em up,940.0,297.0,0.014386287113559841,0.012233297635719582,1.1759942038485045
Villain Protagonist,161.0,51.0,0.0024640342822161002,0.00210066727078013,1.1729769471302447
Split Screen,508.0,162.0,0.007774716865625956,0.00667270780130159,1.1651517040967097
Gore,2832.0,906.0,0.0433425160697888,0.037317736222094076,1.1614454802895502
Mythology,672.0,215.0,0.010284664830119375,0.008855754180739764,1.1613539197471545
Science,524.0,168.0,0.008019589837771656,0.006919845127275723,1.1589262028655969
RPG,10356.0,3326.0,0.15849403122130395,0.13699645769832772,1.1569206524325968
Trading Card Game,233.0,75.0,0.0035659626568717477,0.003089216574676662,1.1543258851137639
Isometric,1512.0,487.0,0.023140495867768594,0.02005931295823379,1.1536036112478152
Comic Book,899.0,290.0,0.013758800122436486,0.011944970755416427,1.1518487909397
Looter Shooter,348.0,113.0,0.005325987144168962,0.004654419639179504,1.1442859812932218
Farming,126.0,41.0,0.001928374655647383,0.0016887717274899085,1.1418799973123699
Agriculture,411.0,134.0,0.006290174471992654,0.005519400280088969,1.1396481778435645
Base-Building,1587.0,520.0,0.024288337924701562,0.02141856825109152,1.1339851310305857
Female Protagonist,4871.0,1603.0,0.07454851545760637,0.06602685558942252,1.129063542283074
Snow,218.0,72.0,0.0033363942454851547,0.0029656479116895954,1.1250136040540082
Werewolves,121.0,40.0,0.001851851851851852,0.0016475821731608863,1.1239814814814815
Destruction,707.0,234.0,0.010820324456688093,0.009638355712991185,1.122631782732793
Investigation,1449.0,484.0,0.022176308539944904,0.019935744295246725,1.112389294902443
Local Multiplayer,2293.0,766.0,0.03509335782063055,0.03155119861603097,1.1122670250251547
Shooter,5888.0,1968.0,0.09011325374961739,0.08106104291951562,1.1116715317750054
