tag_a,tag_b,cooccurrence_count,jaccard_similarity
Adventure,Multiplayer,2724,0.07394136807817589
Indie,Action-Adventure,3541,0.07392021376531742
Fantasy,Early Access,1299,0.07384038199181446
Exploration,Retro,1296,0.073232751313782
Arcade,Action-Adventure,1215,0.07281117037214598
Retro,Family Friendly,1043,0.07200055225735193
Colorful,Multiplayer,1358,0.07048320963305132
Simulation,Puzzle,1945,0.07036648457002279
RPG,Retro,1415,0.07002523877864107
Fantasy,Relaxing,1128,0.0695351991123166
Puzzle,Arcade,1538,0.069120488966788
Atmospheric,Arcade,1527,0.06903567069035671
Colorful,Shooter,1268,0.06883448238423538
Early Access,Action-Adventure,1106,0.06862319290190481
Strategy,Funny,1533,0.06852315394242804
Arcade,Relaxing,1123,0.06852156934529258
Adventure,Relaxing,2452,0.06817549908246677
Action-Adventure,Retro,1009,0.06741497962183471
Action,Family Friendly,2514,0.06723722920566996
Adventure,Arcade,2538,0.06661417322834645
Atmospheric,Multiplayer,1399,0.06607471780097293
3D,Platformer,1395,0.06596992338976639
Puzzle,Action-Adventure,1354,0.06571220577529725
RPG,Multiplayer,1384,0.0656235182550972
2D,Multiplayer,1926,0.0651534115895944
Story Rich,Retro,1174,0.06499833905436829
Atmospheric,Early Access,1394,0.06461780929866036
2D,Early Access,1934,0.06457860291171363
Pixel Graphics,Family Friendly,1176,0.06451612903225806
RPG,Funny,1338,0.06437644341801385
Multiplayer,Horror,1035,0.06426974664679583
Fantasy,Multiplayer,1095,0.0629274179644848
First-Person,Relaxing,1070,0.06286721504112809
Pixel Graphics,Relaxing,1150,0.06280377914914533
First-Person,Funny,1115,0.062749732680511
Simulation,Arcade,1494,0.0621593509465363
RPG,Colorful,1492,0.062107147317154394
Colorful,First-Person,1300,0.06197263669733517
Casual,Action-Adventure,2307,0.06142008998695456
Simulation,Horror,1373,0.06065291337191324
Strategy,Exploration,1510,0.06038067818298144
Funny,Shooter,923,0.060040330449489365
Simulation,Pixel Graphics,1535,0.05916817638669391
Pixel Graphics,Horror,1123,0.05898419034613162
Strategy,Story Rich,1476,0.0583745303539648
Casual,Shooter,2186,0.05829022452135886
Colorful,Early Access,1153,0.058035938994312176
Pixel Graphics,Early Access,1151,0.05798196564404816
2D,Horror,1690,0.05757699645680022
Story Rich,Relaxing,1013,0.05650064141893023
Arcade,Fantasy,1046,0.0564672856834377
Arcade,Early Access,1013,0.0561529933481153
Casual,Horror,2096,0.05503768085497466
Early Access,Funny,904,0.054057286372062426
RPG,Horror,1126,0.05386786585657561
Strategy,Retro,1196,0.053852041964969156
Early Access,Horror,886,0.05321960595867371
First-Person,Arcade,1025,0.05315011667098781
RPG,First-Person,1210,0.05280153604468494
Multiplayer,Action-Adventure,840,0.05253940455341506
Exploration,Multiplayer,989,0.05245014849384811
3D,Retro,1121,0.05149524553263816
Action-Adventure,Family Friendly,761,0.05119752421959096
Cute,Multiplayer,937,0.05075289784422056
Story Rich,Family Friendly,910,0.05062586926286509
Exploration,Shooter,907,0.05038329074547272
Horror,Retro,767,0.0494201030927835
First-Person,Retro,863,0.04925517949888705
Story Rich,Platformer,873,0.04846230709448207
Puzzle,RPG,1272,0.048304408916568564
Strategy,First-Person,1181,0.04775962471692009
First-Person,Fantasy,918,0.047737909516380655
Shooter,Platformer,701,0.047538315475383154
Simulation,Fantasy,1132,0.0467093047245719
Pixel Graphics,Multiplayer,912,0.046306169078446306
Relaxing,Platformer,673,0.0462098324636089
Retro,Relaxing,686,0.04604026845637584
Early Access,Relaxing,733,0.04552795031055901
Cute,Early Access,849,0.044813935075217734
First-Person,Family Friendly,771,0.04466458116093153
Strategy,Arcade,1082,0.04462039671739041
Simulation,Shooter,1004,0.04459249389296025
Exploration,Arcade,884,0.04412278512602945
Simulation,Action-Adventure,1000,0.044054804176395436
Multiplayer,Retro,706,0.044053413203544244
RPG,Shooter,896,0.04340664664276717
Multiplayer,Platformer,679,0.04323739174732552
Funny,Horror,689,0.04280034786930054
Strategy,Shooter,938,0.0419068042710986
Story Rich,Shooter,761,0.041378935348811915
Simulation,Retro,925,0.04078842931475439
