tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Dark,5106,2372,25.0,2021.6790050920486,83.72093023255815,0.0,0.0,0.18329894209550712,0.060712886799843324,4.99,2022.0,0.056975161239929475,Very High
Dark Comedy,776,410,34.5,899.2048969072165,88.12656641604009,0.0,0.0,0.2257526476528275,0.07603092783505154,4.99,2022.0,0.008658974759534916,High
Dark Fantasy,2533,1227,27.0,3774.0457954994076,82.43243243243244,0.0,0.0,0.3119327627850276,0.05645479668377418,6.99,2023.0,0.028264411167399407,Very High
Dark Humor,1606,914,43.0,1807.9464508094645,87.77471700385357,0.0,0.0,0.35452627255932945,0.05603985056039851,4.99,2022.0,0.01792050704099623,High
Dating Sim,1714,1188,112.0,2656.21528588098,87.84881102357065,0.0,0.0,0.6009551897741169,0.058926487747957994,6.99,2021.0,0.019125622084849025,High
Deckbuilding,1036,553,34.0,1230.3909266409266,83.68004121852258,0.0,0.0,0.3909816694351346,0.0637065637065637,7.99,2023.0,0.011560177642884242,High
Demons,1567,634,19.0,1438.2967453733247,82.56811953880357,0.0,0.0,0.0622962281317212,0.05041480536056158,4.99,2023.0,0.01748532660849383,High
Design & Illustration,819,367,24.0,1676.8925518925519,81.03448275862068,0.0,0.0,0.20438081455120666,0.15262515262515264,4.99,2021.0,0.009138789082550381,High
Destruction,941,484,32.0,4906.724760892667,82.62846140209689,0.0,0.0,0.3849222608621663,0.08076514346439957,5.99,2021.0,0.010500122743198911,High
Detective,1814,926,31.0,1415.1444321940462,85.36585365853658,0.0,0.0,0.26384686832768217,0.043550165380374865,6.99,2022.0,0.020241469347675692,High
Dice,32,22,179.5,967.96875,89.78704143397421,138.0,1.0,0.895763693484209,0.0,9.99,2024.0,0.00035707112410453257,Low
Difficult,5580,3341,50.0,6723.728853046595,84.12698412698413,0.0,0.0,0.4575650004559838,0.06415770609318996,4.99,2020.0,0.06226427726572787,Very High
Dinosaurs,352,187,33.0,4124.75,80.0,0.0,0.0,0.3043610173088068,0.09375,4.99,2021.0,0.003927782365149859,Medium
Diplomacy,267,183,133.0,4970.333333333333,77.77777777777779,0.0,1.0,0.9402992330645602,0.06741573033707865,12.99,2021.0,0.0029793121917471937,Medium
Documentary,31,18,93.0,269.16129032258067,84.079822616408,0.0,0.0,0.24289355457788114,0.3870967741935484,1.99,2020.0,0.0003459126514762659,Low
Dog,462,220,23.0,712.8290043290043,87.19876614613457,0.0,0.0,0.15082645501659847,0.049783549783549784,4.99,2022.0,0.005155214354259189,Medium
Dragons,596,271,22.5,4177.088926174497,79.33168316831683,0.0,0.0,0.2715463500708608,0.09395973154362416,6.99,2022.0,0.006650449686446919,Medium
Drama,2773,1469,35.0,1456.0219978362784,87.61904761904762,0.0,0.0,0.2756518526680159,0.05084745762711865,5.99,2023.0,0.0309424445981834,Very High
Driving,1464,773,35.0,2798.136612021858,78.40401785714286,0.0,0.0,0.4252989692148322,0.05737704918032787,5.99,2022.0,0.016336003927782367,High
